State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.","Apple Health (Program includes, AHAC, CHIP,HOFC, HO) (Comprehensive MCO)",Molina,"Adams, Asotin, Benton, Chelan, Clallam, Clark, Columbia, Cowlitz, Douglas, Ferry, Franklin, Garfield, Grant, Grays Harbor, Island,  King, Kitsap, Kittitas, Klickitat, Lewis, Lincoln, Mason, Okanogan, Pacific, Pend Oreille, Pierce, San Juan, Skagit, Skamania, Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",601412,0,601412,2017,"Washington
(47.411715, -120.592492)",Molina
Tennessee,"Beneficiaries can simultaneously enroll in (1) Magellan Health services, (2) DentaQuest USA Insurance Company, and (3) another comprehensive MCO. The de-duplicated total enrollment in comprehensive MCOs is 1,409,266.",TennCare II (Comprehensive MCO + MLTSS),UnitedHealthcare Community Plan,Statewide,388963,51897,440860,2017,"Tennessee
(35.842998, -86.343226)",UnitedHealth Group
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Cascade Health Alliance,"Klamath (97731, 97733, 97737, 97739, 97425 excluded) County",15678,747,16425,2017,"Oregon
(43.940449, -120.605279)",Cascade Health Alliance
North Carolina,,Program of All Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Elderhaus Inc,"Serving all zip codes in New Hanover County, the following zip codes in Brunswick County: 28422, 28451, 28461, 28479 and the following zip codes in Pender County: 28443",83,28,111,2017,"North Carolina
(35.52603, -79.130883)",Elderhaus Inc
Texas,,STAR Kids (Comprehensive MCO + MLTSS),Cook Children's Health Plan,"Hidalgo SDA, Nueces SDA",8993,0,8993,2017,"Texas
(31.447238, -99.317341)",Cook Children's Health Plan
Ohio,,Medicaid Managed Care (Comprehensive MCO),Molina,Statewide,308936,8299,317235,2017,"Ohio
(40.415534, -82.70936)",Molina
Utah,,Transportation (Non-Emergency Medical Transportation),Logisticare Solutions,Statewide,217442,22136,239578,2017,"Utah
(39.323779, -111.678222)",The Providence Service Corporation
North Carolina,,Program of All Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),PACE of the Triad,"Serving the following zip codes in Guilford and Rockingham Counties:27027, 27048, 27288, 27235, 27282, 27301, 27310, 27377, 27401, 27403, 27405, 27406, 27407, 27408, 27409, 27410, 27455, 27495, 27025, 27214, 27233, 27244, 27249, 27260, 27262, 27263, 27265, 27283, 27284, 27298, 27311, 27313, 27320, 27326, 27357, 27358",144,45,189,2017,"North Carolina
(35.52603, -79.130883)",PACE of the Triad
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Amerigroup Florida, Inc.","Regions 5, 6, 7, and 11",321122,9570,330692,2017,"Florida
(28.260731, -82.420978)","Anthem, Inc."
Georgia,,Georgia Families 360 (Comprehensive MCO),Amerigroup Community Care,Statewide,26796,0,26796,2017,"Georgia
(32.638481, -83.426574)",Amerigroup
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Tuscarora Managed Care Alliance,Franklin and Fulton counties,25110,2860,27970,2017,"Pennsylvania
(40.896694, -77.838886)",PerformCare
Minnesota,,Special Needs Basic Care (SNBC) (Comprehensive MCO + MLTSS),Hennepin Health,Hennepin County,1108,947,2055,2017,"Minnesota
(46.349153, -94.198308)",Hennepin County
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Umpqua Health Alliance,"Douglas (97441, 97467, 97473 excluded) County",24697,1423,26120,2017,"Oregon
(43.940449, -120.605279)",Umpqua Health Alliance
Virginia,,Medallion 3.0 (Comprehensive MCO),Anthem,Statewide,268920,0,268920,2017,"Virginia
(37.510861, -78.666382)",Anthem BCBS
Hawaii,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.",Hawaii QUEST Integration (Comprehensive MCO + MLTSS),Ohana Health Plan QUEST,Statewide,23754,28,23782,2017,"Hawaii
(21.361013, -157.854309)",Wellcare Inc.
New Jersey,,NJ FamilyCare (Comprehensive MCO + MLTSS),Horizon NJ Health,Statewide,741317,76782,818099,2017,"New Jersey
(40.110253, -74.655514)","Horizon Healthcare of New Jersey, Inc."
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care Plan (MLTSS),Maricopa & Pima Counties,2132,8913,11045,2017,"Arizona
(34.293239, -111.664616)",Dignity Health and Carondelet Health Network
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Center for Elders Independence/Alameda,Alameda County,78,557,635,2017,"California
(37.211164, -119.662127)",Center for Elders Independence
California,,Family Mosaic Program/San Francisco (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Family Mosaic Project/San Francisco,San Francisco County,23,0,23,2017,"California
(37.211164, -119.662127)",San Francisco County
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),Mercy LIFE H-3919,"Philadelphia (partial), Delaware counties",86,698,784,2017,"Pennsylvania
(40.896694, -77.838886)",Trinity Health Corp.
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Bucks County HealthChoices,Bucks county,62948,7318,70266,2017,"Pennsylvania
(40.896694, -77.838886)",Magellan Health
Idaho,,Idaho Behavioral Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Optum Idaho,Statewide,266072,24391,290463,2017,"Idaho
(44.389073, -114.659366)",United Healthcare
Nevada,,Mandatory Health Maintenance Program (Comprehensive MCO),Silver Summit Health,Urban zipcodes in Washoe and Clark Counties.,791,0,791,2017,"Nevada
(39.283294, -114.916992)",Centene
Minnesota,,Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS),UCare,Statewide,1349,2946,4295,2017,"Minnesota
(46.349153, -94.198308)",UCare of Minnesota
California,,Regional Model (Comprehensive MCO),Molina Healthcare/Imperial,Imperial County,14964,658,15622,2017,"California
(37.211164, -119.662127)",Molina Healthcare
Puerto Rico,,Medicare Platino (Comprehensive MCO),"Humana Health Plan of PR, Inc.",Statewide,0,23427,23427,2017,"Puerto Rico
(18.215692, -66.414655)",Humana
California,,Two-Plan Model (Comprehensive MCO + MLTSS),CalViva Health/Fresno,Fresno County,291765,10050,301815,2017,"California
(37.211164, -119.662127)",CalViva Health
Massachusetts,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Fallon Health Summit Eldercare,"01001, 01008, 01010, 01011, 01013, 01027, 01028, 01033, 01034, 01036, 01040, 01056, 01057, 01069, 01071, 01073, 01075, 01077, 01081, 01085, 01089, 01095, 01101, 01106, 01521, 01034, 01810, 01821, 01824, 01826, 01827, 01840, 01844, 01850, 01876, 01879, 01886, 01005, 01037, 01068, 01083, 01331, 01331, 01366, 01368, 01420, 01430, 01431, 01432, 01440, 01441, 01450, 01451, 01452, 01453, 01460, 01462, 01463, 01464, 01468, 01469, 01475, 01501, 01503, 01504, 01505, 01506, 01507, 01510, 01515, 01516, 01519, 01520, 01523, 01524, 01527, 01529, 01531, 01532, 01534, 01535, 01540, 01541, 01543, 01545, 01550, 01562, 01564, 01566, 01568, 01569, 01570, 01571, 01581, 01583, 01585, 01590, 01601, 01612, 01719, 01720, 01730, 01740, 01741, 01742, 01747, 01749, 01752, 01756, 01757, 01772, 01151, 01845",17,440,457,2017,"Massachusetts
(42.151077, -71.481104)",Fallon Health Summit Eldercare
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Phoenix Health Plan,Maricopa County,0,0,0,2017,"Arizona
(34.293239, -111.664616)",Tenet Healthcare Corporation
Idaho,,Healthy Connections (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,255773,20638,276411,2017,"Idaho
(44.389073, -114.659366)",Healthy Connections
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Independent Care Systems,New York City,1111,5445,6556,2017,"New York
(42.921241, -75.59655)",Independent Care Systems
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Care Resources,"Kent, parts of Ottawa.",8,114,122,2017,"Michigan
(44.874798, -85.730977)","Each partner has 20% ownership:  Grand Rapids Dominicans, Holland Home, Metro Health, Pine Rest Christian Mental Health Services, and Reliance Community Care Partners"
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),LIFE St. Mary H-6551,Bucks county (partial),14,219,233,2017,"Pennsylvania
(40.896694, -77.838886)",Trinity Health Corp.
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Wasatch Mental Health,Utah and Wasatch counties,44599,3046,47645,2017,"Utah
(39.323779, -111.678222)",Wasatch Mental Health
Nebraska,,Heritage Health (Comprehensive MCO),UnitedHealthcare Community Plan of Nebraska,Statewide,68689,12645,81334,2017,"Nebraska
(41.527099, -99.810595)",United Healthcare of Midlands
Texas,,STAR (Comprehensive MCO),Superior Health Plan,"Bexar SDA, El Paso SDA, Hidalgo SDA, Lubbock SDA, MRSA Central, MRSA Northeast, MRSA West, Nueces SDA, Travis SDA",719578,0,719578,2017,"Texas
(31.447238, -99.317341)",Superior Health Plan
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Health Advantage/Elant Choice,"Dutchess, Orange, Rockland counties",76,782,858,2017,"New York
(42.921241, -75.59655)",Health Advantage/Elant Choice
Massachusetts,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Serenity Care PACE Program,"01002, 01027, 01350, 01001, 01002, 01007, 01008, 01010, 01011, 01012, 01013, 01026, 01027, 01028, 01032, 01033, 01034, 01035, 01036, 01038, 01040, 01050, 01056, 01057, 01060, 01069, 01070, 01071, 01073, 01075, 01077, 01081, 01082, 01085, 01089, 01095, 01096, 01098, 01101, 01106, 01151, 01243, 01521, 01009, 01030, 01039, 01053, 01054, 01059, 01062, 01066, 01072, 01079, 01080, 01084, 01088, 01093, 01097, 01301, 01330, 01337, 01338, 01339, 01340, 01341, 01342, 01344, 01346, 01351, 01354, 01355, 01360, 01364, 01367, 01370, 01375, 01378, 01379",58,316,374,2017,"Massachusetts
(42.151077, -71.481104)",Serenity Care PACE Program
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),ODS Community Health Inc.,"Baker, Benton, Clackamas, Clatsop, Columbia, Crook, Deschutes (97733, 97735 excluded), Hood River, Jackson, Jefferson, Josephine, Lane, Linn (97759 excluded), Malheur, Marion, Multnomah, Polk (97370 excluded), Tillamook, Wallowa (97828, 97846 only), Wasco, Washington, and Yamhill Counties",5416,1180,6596,2017,"Oregon
(43.940449, -120.605279)",MODA Health
California,,Health Plan of San Mateo CCS Demo/San Mateo (Comprehensive MCO),Health Plan of San Mateo CCS Demo,San Mateo County,1606,4,1610,2017,"California
(37.211164, -119.662127)",Health Plan of San Mateo
Colorado,,Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Rocky Mountain Health Care Services (PACE),El Paso County,32,428,460,2017,"Colorado
(38.998552, -105.547832)",Rocky Mountain Health Care Services
West Virginia,,Mountain Health Trust (Comprehensive MCO),UniCare,statewide,142892,0,142892,2017,"West Virginia
(38.642579, -80.613729)",Anthem
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Positive Healthcare, Inc.",Regions 10 and 11,1133,873,2006,2017,"Florida
(28.260731, -82.420978)",AIDS Healthcare Foundation
New Hampshire,,New Hampshire Health Protection Program Medicaid Care Management ABP (Comprehensive MCO),New Hampshire Healthy Families,Statewide,2497,0,2497,2017,"New Hampshire
(43.680429, -71.57139)",Centene
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Integrated Care,"Apache, Coconino, Gila, Mohave, Navajo, & Yavapai Counties",3582,2088,5670,2017,"Arizona
(34.293239, -111.664616)",Health Choice Arizona/NARBHA
Texas,,STAR (Comprehensive MCO),FirstCare,"Lubbock SDA, MRSA West",89948,0,89948,2017,"Texas
(31.447238, -99.317341)",FirstCare
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),Mercy LIFE West Philadelphia H-3908,Philadelphia county,21,441,462,2017,"Pennsylvania
(40.896694, -77.838886)",Trinity Health Corp.
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Valley Area Agency on Aging,"Genesee, Lapeer, Shiawassee",39,344,383,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
Louisiana,,Healthy Louisiana (Comprehensive MCO),UnitedHealthcare Community Plan,Statewide,410524,181,410705,2017,"Louisiana
(30.921314, -91.840238)",UnitedHealthcare
Colorado,,Accountable Care Collaborative: Access KP (Comprehensive MCO),Colorado Access Kaiser Permanente,"Adams, Arapahoe, Douglas Counties",0,0,0,2017,"Colorado
(38.998552, -105.547832)",Colorado Access Kaiser Permanente
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/El Dorado,El Dorado County,8705,210,8915,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
California,,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan (Nurs hm cert)/Los Angeles,Los Angeles County,0,1589,1589,2017,"California
(37.211164, -119.662127)",SCAN Health Plan
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),MVP Health Plan,"Albany, Columbia, Dutchess, Genesee, Greene, Jefferson, Lewis, Livingston, Monroe, Oneida, Ontario, Orange, Putnam, Rensselaer, Rockland, Saratoga, Schenectady, Sullivan, Ulster, Warren, Washington, Westchester counties",164015,0,164015,2017,"New York
(42.921241, -75.59655)",MVP Health Plan
Pennsylvania,,HealthChoices - Physical Health (Comprehensive MCO),"UPMC for You, Inc.","Southwest, Lehigh/Capital, Northwest",407806,1645,409451,2017,"Pennsylvania
(40.896694, -77.838886)","UPMC, Inc."
Wisconsin,,Family Care (MLTSS only (PIHP and/or PAHP)),"Community Care, Inc. (FC)","Counties: Calumet, Fond du Lac, Kenosha, Milwaukee, Manitowoc, Outagamie, Ozaukee, Racine, Sheboygan, Walworth, Washington, Waukesha, Waupaca, Winnebago",1897,8370,10267,2017,"Wisconsin
(44.639954, -89.732969)","Community Care, Inc. (FC)"
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Mendocino,Mendocino County,33528,4459,37987,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
Wisconsin,,Wisconsin Partnership Program (Comprehensive MCO + MLTSS),"Community Care Health Plan, Inc. – Community Care, Inc.","Counties: Calumet, Kenosha, Milwaukee, Outagamie, Ozaukee, Racine, Washington, Waukesha, Waupaca",133,520,653,2017,"Wisconsin
(44.639954, -89.732969)","Community Care Health Plan, Inc. – Community Care, Inc."
Louisiana,,Healthy Louisiana BHO (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),UnitedHealthcare Community Plan,Statewide,3061,22777,25838,2017,"Louisiana
(30.921314, -91.840238)",UnitedHealthcare
New Jersey,,PACE (Program of All-inclusive Care for the Elderly (PACE)),LIFE at Lourdes,"08002, 08003, 08004, 08007, 08009, 08012, 08021, 08026, 08029, 08030, 08031, 08033, 08034, 08035, 08043, 08045, 08049, 08059, 08078, 08081, 08083, 08084, 08091, 08095, 08099, 08101, 08102, 08103, 08104, 08105, 08106, 08107, 08108, 08109, 08110",25,193,218,2017,"New Jersey
(40.110253, -74.655514)",Lourdes Health System
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Bear River Mental Health,"Box Elder, Cache, and Rich counties",15965,1208,17173,2017,"Utah
(39.323779, -111.678222)",Bear River Mental Health
Colorado,,Accountable Care Collaborative (Primary Care Case Management Entity (PCCM Entity)),RCCO 3: Colorado Access,"Adams, Arapahoe and Douglas Counties",242208,11387,253595,2017,"Colorado
(38.998552, -105.547832)",Colorado Access
Ohio,,Medicaid Managed Care (Comprehensive MCO),United Healthcare Community Plan of Ohio,Statewide,287195,9519,296714,2017,"Ohio
(40.415534, -82.70936)",UnitedHealthCare
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Kalos Health Plan,"Chautauqua, Erie, Genesee, Niagara, Orleans counties",44,1098,1142,2017,"New York
(42.921241, -75.59655)",Kalos Health Plan
Mississippi,,Mississippi Coordinated Access Network (Comprehensive MCO),UnitedHealthcare of Mississippi,Statewide,236365,0,236365,2017,"Mississippi
(32.713378, -89.65344)",UnitedHealthcare
New York,,Health and Recovery Plans (Comprehensive MCO),HIP GNY,"New York City & Nassau, Suffolk, Westchester counties",4624,0,4624,2017,"New York
(42.921241, -75.59655)",HIP GNY
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Lassen,Lassen County,6525,955,7480,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
Texas,,STAR Kids (Comprehensive MCO + MLTSS),BlueCross BlueShield,"MRSA Central SDA, Travis SDA",7772,0,7772,2017,"Texas
(31.447238, -99.317341)",BlueCross BlueShield
District of Columbia,,Medicaid Managed Care Program (Comprehensive MCO),AmeriHealth District of Columbia,Statewide,102006,9,102015,2017,"District of Columbia
(38.904785, -77.016275)",AmeriHealth District of Columbia
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Region 9 Area Agency on Aging,"Alcona, Alpena, Arenac, Cheboygan, Crawford, Iosco, Montmorency, Ogemaw, Oscoda, Otsego, Presque Isle, Roscommon",27,415,442,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Colusa,Colusa County,4598,104,4702,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
California,,Dental Managed Care/Sacramento (Dental only (PAHP)),Access Dental Plan/Sacramento,Sacramento County,135093,5917,141010,2017,"California
(37.211164, -119.662127)",Access Dental
New York,,Health and Recovery Plans (Comprehensive MCO),NYS Catholic Health Plan,New York City & 57 counties,22347,0,22347,2017,"New York
(42.921241, -75.59655)",NYS Catholic Health Plan
Ohio,,PACE (Program of All-inclusive Care for the Elderly) (Program of All-inclusive Care for the Elderly (PACE)),McGregor PACE,Cuyahoga County,80,336,416,2017,"Ohio
(40.415534, -82.70936)",McGregor PACE
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Weber Mental Health,Weber and Morgan counties,24188,2685,26873,2017,"Utah
(39.323779, -111.678222)",Weber Mental Health
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),CentraCare,"Calhoun,Kalamazoo.",14,303,317,2017,"Michigan
(44.874798, -85.730977)",Comprehensive Senior Care Corporation
North Carolina,,1915(b)/(c) Medicaid Waiver for MH/DD/SA Services (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Trillium Health Resources,"Counties: Brunswick, Carteret, New Hanover, Onslow, Pender, Beaufort, Bertie, Camden, Chowan, Craven, Currituck, Dare, Gates, Hertford, Hyde, Jones, Martin, Northampton, Pamlico, Pasquotank, Perquimans, Pitt, Tyrrell, Washington",186189,27766,213955,2017,"North Carolina
(35.52603, -79.130883)",Trillium Health Resources
Puerto Rico,,Medicare Platino (Comprehensive MCO),Triple S Advantage,Statewide,0,45960,45960,2017,"Puerto Rico
(18.215692, -66.414655)",Blue Cross Blue Shield of Puerto Rico
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Lycoming-Clinton Joinder Board,Clinton and Lycoming counties,28287,3638,31925,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
Indiana,,Healthy Indiana Plan (2.0) (Comprehensive MCO),Managed Health Services of Indiana,Statewide,83286,849,84135,2017,"Indiana
(39.919991, -86.2818)",Centene Corporation
Texas,,STAR (Comprehensive MCO),Seton Health Plan,Travis SDA,18016,0,18016,2017,"Texas
(31.447238, -99.317341)",Seton Health Plan
Hawaii,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.",Hawaii QUEST Integration (Comprehensive MCO + MLTSS),Kaiser ABD,Oahu and Maui,679,873,1552,2017,"Hawaii
(21.361013, -157.854309)",Kaiser Permanente
North Carolina,,1915(b)/(c) Medicaid Waiver for MH/DD/SA Services (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Alliance Behavioral Healthcare,"Counties: Cumberland, Durham, Johnston, Wake",212704,21842,234546,2017,"North Carolina
(35.52603, -79.130883)",Alliance Behavioral Healthcare
Rhode Island,,PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE Organization of Rhode Island,Statewide,39,254,293,2017,"Rhode Island
(41.572574, -71.534637)",PACE Organization of Rhode Island
Kentucky,,Kentucky Medicaid Managed Care (Comprehensive MCO),Anthem Blue Cross Blue Shield Medicaid,Statewide,118583,3080,121663,2017,"Kentucky
(37.526683, -85.290484)",Anthem Blue Cross Blue Shield
